,Season,Round,Venue,Kick_Off_Time,Home_Team,Home_Score,Home_ELO,Home_Completion,Home_Tackle,Away_Team,Away_Score,Away_ELO,Away_Completion,Away_Tackle
41,2023,Round 6,Accor Stadium,2023-04-07,Bulldogs,16,878.0716046179963,71.0,91.04,Rabbitohs,50,1116.0814981990106,74.0,90.55
42,2023,Round 6,Queensland Country Bank Stadium,2023-04-07,Cowboys,22,1031.6234621194396,67.0,83.58,Dolphins,32,1015.1564644359516,80.0,87.31
43,2023,Round 6,BlueBet Stadium,2023-04-08,Panthers,44,1264.9703022275505,84.0,91.25,Sea Eagles,12,920.4583019174484,78.0,84.22
44,2023,Round 6,Suncorp Stadium,2023-04-08,Broncos,14,1108.0146160833388,71.0,85.59,Raiders,20,1008.8674031991081,78.0,85.25
45,2023,Round 6,Cbus Super Stadium,2023-04-09,Titans,20,861.0409388209198,75.0,85.01,Dragons,18,991.5371065756666,77.0,82.89
46,2023,Round 6,McDonald Jones Stadium,2023-04-09,Knights,34,831.7527931211914,79.0,91.49,Warriors,24,916.4314765356958,80.0,88.28
47,2023,Round 6,Accor Stadium,2023-04-10,Wests Tigers,22,666.4897498551037,76.0,90.71,Eels,28,1078.8138889030004,78.0,85.0
48,2023,Round 7,Suncorp Stadium,2023-04-13,Dolphins,14,1043.9588746566635,85.0,87.78,Rabbitohs,36,1127.224744867383,83.0,88.0
49,2023,Round 7,PointsBet Stadium,2023-04-14,Sharks,22,1062.1071530830945,76.0,91.69,Roosters,12,1143.5890926478157,88.0,85.82
50,2023,Round 7,4 Pines Park,2023-04-14,Sea Eagles,18,913.8043322145061,83.0,92.5,Storm,8,1104.994147657666,71.0,88.66
51,2023,Round 7,Go Media Stadium,2023-04-15,Warriors,22,882.3586762566914,77.0,93.77,Cowboys,14,1002.8210518987278,85.0,86.6
52,2023,Round 7,McDonald Jones Stadium,2023-04-15,Knights,15,865.8255934001958,67.0,88.75,Panthers,16,1271.6242719304928,73.0,89.65
53,2023,Round 7,Cbus Super Stadium,2023-04-15,Titans,26,898.4101012457696,76.0,86.4,Broncos,43,1072.8732861728856,73.0,89.29
54,2023,Round 7,GIO Stadium,2023-04-16,Raiders,20,1044.0087331095613,73.0,85.01,Dragons,14,954.1679441508168,63.0,86.73
55,2023,Round 7,CommBank Stadium,2023-04-16,Eels,30,1083.50064123221,70.0,86.94,Bulldogs,4,866.928357949624,68.0,87.24
56,2023,Round 8,Accor Stadium,2023-04-20,Rabbitohs,20,1148.2574844707945,85.0,86.46,Panthers,18,1276.474602905249,82.0,88.91
57,2023,Round 8,TIO Stadium,2023-04-21,Eels,16,1095.780688869225,68.0,84.37,Broncos,26,1087.618710898722,86.0,87.0
